Party Name,Number of Diamonds,First Color of Diamond,Second Color of Diamond,Third Color of Diamond,Shape,Quantity,Date,Choice,Type
Shiv VipulBhai,2,Ruby,Purple,White,Round,22,2024-10-27,yes,plain
MRP MukeshBhai,2,Purple,White,Pink,Oval,26,2024-09-13,yes,micro
SanjayBhai,5,Purple,Blue,Ruby,Star,14,2024-12-09,yes,plain
AshishBhai,1,Purple,Pink,Blue,Marquise,26,2023-11-16,no,plain
RakeshBhai,5,Pink,Blue,Green,Hexagon,14,2025-01-10,no,plain
SanjayBhai,6,Ruby,Blue,White,Club,26,2023-10-22,yes,micro
Shiv VipulBhai,8,Ruby,Pink,Ruby,Hexagon,6,2024-08-28,yes,plain
SanjayBhai,1,Blue,Blue,Blue,Round,18,2024-07-21,yes,plain
MRP MukeshBhai,2,Purple,Purple,Green,Oval,18,2023-10-03,yes,micro
AshishBhai,1,White,Ruby,Purple,Oval,18,2025-03-14,yes,micro
VirajBhai,6,Pink,White,Ruby,Flower,6,2024-09-19,yes,plain
Shiv VipulBhai,5,Ruby,Pink,Purple,Heart,18,2024-12-31,yes,micro
MRP MukeshBhai,1,Blue,Blue,Blue,Oval,26,2024-11-23,yes,micro
MRP MukeshBhai,3,Pink,Ruby,Green,Square,22,2023-05-01,yes,micro
RakeshBhai,8,Purple,Blue,Green,Star,22,2024-07-13,yes,micro
SanjayBhai,5,Ruby,Purple,Pink,Square,2,2024-05-05,yes,micro
RakeshBhai,6,Blue,Purple,White,Hexagon,14,2024-08-10,no,plain
SanjayBhai,1,Pink,Pink,Blue,Round,10,2024-07-30,no,micro
AshishBhai,5,Ruby,Purple,Green,Heart,26,2023-05-26,yes,plain
SanjayBhai,4,Pink,White,Purple,Hexagon,14,2025-03-03,yes,micro
MRP MukeshBhai,2,Ruby,Green,White,Marquise,18,2023-05-21,yes,plain
Aditi Ornaments,6,Pink,Ruby,Blue,Club,6,2024-03-08,yes,plain
Aditi Ornaments,2,Purple,Pink,Purple,Heart,18,2025-02-18,yes,plain
VirajBhai,3,Green,Ruby,White,Diamond,26,2023-08-29,yes,plain
AshishBhai,5,Purple,Green,Purple,Flower,26,2024-06-30,yes,plain
SanjayBhai,4,Blue,Blue,White,Diamond,2,2023-04-15,yes,plain
SanjayBhai,6,White,Purple,Ruby,Diamond,6,2024-08-08,yes,plain
VirajBhai,2,White,White,Green,Round,26,2024-11-03,yes,plain
Shiv VipulBhai,2,Purple,Blue,Purple,Heart,14,2024-07-10,yes,micro
AshishBhai,2,Green,Ruby,White,Heart,2,2023-05-20,yes,micro
Shiv VipulBhai,4,Ruby,White,Pink,Heart,18,2023-10-27,yes,micro
MRP MukeshBhai,1,Ruby,Purple,Ruby,Marquise,6,2024-09-20,yes,plain
RakeshBhai,4,White,White,Blue,Star,26,2025-02-26,yes,plain
Aditi Ornaments,1,Ruby,White,Green,Marquise,10,2024-08-22,yes,micro
Shiv VipulBhai,1,Pink,Blue,Purple,Round,2,2023-06-10,yes,micro
VirajBhai,3,Ruby,Purple,Blue,Square,14,2025-01-03,no,plain
SanjayBhai,2,Pink,Green,Pink,Diamond,22,2024-02-26,yes,plain
RakeshBhai,3,Ruby,Blue,Purple,Round,18,2024-08-18,yes,micro
Shiv VipulBhai,5,White,Green,Green,Hexagon,18,2024-09-19,yes,micro
SanjayBhai,3,Green,Blue,Blue,Club,26,2023-12-13,yes,plain
MRP MukeshBhai,6,Purple,Purple,White,Square,10,2024-12-01,yes,plain
VirajBhai,5,Green,Ruby,Purple,Club,2,2023-04-23,yes,micro
Aditi Ornaments,2,Ruby,Pink,Blue,Club,18,2025-01-06,yes,plain
RakeshBhai,4,Blue,Green,Purple,Diamond,10,2023-05-12,no,micro
Shiv VipulBhai,6,Green,Purple,Ruby,Diamond,18,2023-05-15,no,micro
AshishBhai,8,Blue,Green,Pink,Star,10,2023-11-26,yes,plain
SanjayBhai,3,White,White,Blue,Square,6,2024-10-06,yes,plain
MRP MukeshBhai,4,Ruby,Green,Ruby,Square,22,2025-01-04,no,micro
Shiv VipulBhai,6,Blue,Blue,Purple,Star,14,2023-10-12,yes,plain
RakeshBhai,6,Purple,Ruby,Pink,Star,22,2023-11-26,yes,plain
MRP MukeshBhai,2,Green,Pink,Ruby,Club,2,2024-09-08,yes,plain
AshishBhai,3,Ruby,Green,Pink,Round,14,2024-04-26,yes,plain
Aditi Ornaments,2,Pink,Pink,Green,Heart,18,2023-07-15,yes,plain
SanjayBhai,5,Ruby,White,White,Heart,26,2024-09-29,yes,micro
SanjayBhai,3,White,Ruby,White,Round,26,2024-01-01,yes,micro
RakeshBhai,3,Purple,White,Purple,Marquise,18,2024-11-03,yes,plain
RakeshBhai,1,Blue,Green,Blue,Marquise,26,2024-10-20,no,plain
AshishBhai,2,Purple,Green,White,Round,10,2023-07-13,yes,plain
VirajBhai,4,White,Purple,Blue,Diamond,2,2023-08-08,yes,micro
MRP MukeshBhai,1,Ruby,White,Pink,Round,22,2024-06-15,yes,plain
VirajBhai,6,White,White,Ruby,Star,6,2023-12-31,yes,plain
SanjayBhai,8,Blue,Pink,Blue,Flower,18,2024-07-06,yes,plain
Shiv VipulBhai,6,Blue,White,Ruby,Heart,22,2023-10-18,yes,plain
Shiv VipulBhai,2,Blue,White,Pink,Round,14,2024-10-19,yes,plain
AshishBhai,3,Pink,Blue,Blue,Oval,22,2024-07-25,yes,micro
Shiv VipulBhai,1,Ruby,Green,Pink,Marquise,22,2024-04-29,yes,plain
SanjayBhai,1,Pink,Blue,Pink,Marquise,14,2024-05-11,yes,micro
MRP MukeshBhai,4,Pink,Blue,Purple,Flower,18,2024-05-02,yes,micro
VirajBhai,4,White,Green,Blue,Club,14,2024-08-27,yes,plain
Shiv VipulBhai,2,Pink,White,Green,Marquise,26,2024-05-25,yes,micro
Shiv VipulBhai,8,White,Pink,Purple,Hexagon,6,2024-05-06,yes,micro
MRP MukeshBhai,5,Green,White,Green,Heart,2,2024-03-28,yes,plain
RakeshBhai,5,Pink,White,Purple,Square,26,2024-02-15,yes,plain
SanjayBhai,2,Green,Blue,Green,Oval,2,2023-08-25,yes,micro
Shiv VipulBhai,3,Purple,White,Ruby,Star,26,2023-03-28,yes,micro
SanjayBhai,1,White,Ruby,Ruby,Round,6,2023-07-19,no,micro
Aditi Ornaments,8,Ruby,Ruby,Pink,Star,10,2023-10-02,yes,plain
VirajBhai,2,Ruby,Purple,Purple,Oval,26,2024-05-30,yes,plain
AshishBhai,1,Pink,Purple,Ruby,Round,22,2023-04-24,yes,micro
SanjayBhai,3,Purple,Ruby,White,Star,14,2024-01-17,yes,micro
RakeshBhai,3,Blue,White,Green,Hexagon,22,2024-04-04,no,micro
Aditi Ornaments,7,Ruby,Green,Pink,Hexagon,10,2023-05-13,yes,micro
MRP MukeshBhai,2,Pink,Green,Ruby,Diamond,18,2023-08-10,no,plain
SanjayBhai,2,Purple,White,White,Round,14,2025-02-28,no,plain
AshishBhai,2,White,Purple,Blue,Marquise,22,2024-09-19,yes,micro
Shiv VipulBhai,1,Ruby,Purple,Blue,Marquise,10,2023-03-21,no,micro
Shiv VipulBhai,8,Blue,Pink,Pink,Star,10,2023-11-06,yes,plain
MRP MukeshBhai,8,Green,White,White,Hexagon,26,2023-12-27,yes,plain
MRP MukeshBhai,4,White,Green,Green,Flower,14,2024-04-03,no,plain
RakeshBhai,1,White,Blue,Ruby,Round,10,2024-08-04,yes,plain
VirajBhai,4,Green,Blue,Pink,Club,2,2023-10-12,yes,plain
MRP MukeshBhai,1,White,Purple,Blue,Round,10,2025-02-21,yes,plain
VirajBhai,3,Green,Green,Green,Hexagon,6,2024-03-22,yes,plain
RakeshBhai,5,Green,Green,Ruby,Club,10,2023-06-23,yes,plain
RakeshBhai,4,Blue,Purple,White,Star,10,2023-10-21,yes,plain
Aditi Ornaments,4,Pink,Blue,Ruby,Star,2,2023-11-05,yes,micro
Aditi Ornaments,3,Purple,Pink,Purple,Hexagon,22,2023-10-06,yes,micro
RakeshBhai,7,Green,Purple,Ruby,Flower,14,2023-05-28,yes,micro
Aditi Ornaments,6,Ruby,Ruby,Ruby,Flower,10,2024-02-05,yes,micro
VirajBhai,1,Blue,Ruby,Blue,Round,18,2024-04-10,yes,micro
AshishBhai,6,Pink,Ruby,Pink,Club,22,2024-03-13,yes,plain
RakeshBhai,4,Pink,White,Purple,Club,10,2024-05-23,no,micro
Shiv VipulBhai,6,Ruby,Purple,Green,Diamond,14,2023-08-09,yes,plain
AshishBhai,6,Pink,Ruby,Pink,Square,2,2025-01-03,yes,plain
AshishBhai,6,White,Ruby,Pink,Club,10,2024-02-01,yes,plain
MRP MukeshBhai,6,Pink,White,Blue,Heart,18,2023-08-08,yes,micro
RakeshBhai,6,White,Blue,Green,Star,14,2024-02-21,no,micro
AshishBhai,6,Blue,Pink,Ruby,Diamond,14,2024-07-24,yes,micro
Aditi Ornaments,4,White,White,White,Hexagon,6,2023-04-20,yes,plain
RakeshBhai,5,Blue,Ruby,Purple,Diamond,26,2024-01-26,yes,plain
RakeshBhai,2,Green,White,Green,Oval,18,2025-02-02,yes,micro
VirajBhai,2,Ruby,Green,Pink,Diamond,18,2023-04-28,yes,micro
MRP MukeshBhai,5,Purple,Green,Purple,Flower,26,2023-04-04,yes,plain
VirajBhai,4,Purple,Pink,Ruby,Diamond,18,2023-07-29,yes,plain
Shiv VipulBhai,4,Pink,Purple,Ruby,Star,6,2024-08-26,no,micro
AshishBhai,3,White,Pink,Ruby,Oval,18,2024-08-11,yes,micro
Shiv VipulBhai,2,White,Pink,Green,Square,26,2024-10-10,yes,micro
Shiv VipulBhai,3,Purple,Green,White,Oval,14,2023-04-12,yes,micro
RakeshBhai,6,White,Green,Pink,Square,10,2023-11-08,no,plain
VirajBhai,5,Pink,Ruby,Pink,Club,22,2023-03-23,yes,micro
Shiv VipulBhai,2,Green,Ruby,Purple,Heart,26,2023-04-23,yes,micro
AshishBhai,3,Pink,Ruby,White,Square,14,2023-04-21,yes,plain
MRP MukeshBhai,5,White,Pink,Ruby,Flower,26,2024-06-18,yes,micro
Shiv VipulBhai,2,Blue,Ruby,Pink,Diamond,26,2023-05-25,yes,micro
Shiv VipulBhai,1,Ruby,Green,Purple,Oval,26,2023-04-17,no,micro
SanjayBhai,1,Ruby,Ruby,Pink,Marquise,2,2024-12-06,yes,micro
VirajBhai,2,Ruby,White,Purple,Club,26,2025-01-10,yes,plain
Aditi Ornaments,5,Ruby,Pink,Green,Diamond,6,2024-02-11,yes,micro
RakeshBhai,6,Pink,Blue,Green,Club,26,2024-04-29,yes,micro
Aditi Ornaments,3,Ruby,Green,Blue,Diamond,2,2023-12-18,yes,micro
AshishBhai,1,White,Blue,Green,Marquise,2,2023-04-17,yes,micro
Aditi Ornaments,1,Green,White,White,Round,26,2024-12-26,yes,plain
SanjayBhai,8,Purple,Green,Purple,Flower,10,2024-12-20,yes,micro
Aditi Ornaments,3,Blue,Ruby,Purple,Diamond,10,2024-11-02,yes,micro
VirajBhai,1,Purple,White,Green,Round,14,2024-08-22,yes,micro
AshishBhai,1,Purple,Pink,Purple,Oval,2,2023-08-30,yes,micro
VirajBhai,7,Purple,White,White,Flower,10,2024-03-14,no,plain
AshishBhai,2,Ruby,Green,Ruby,Marquise,2,2023-04-10,yes,plain
VirajBhai,8,Pink,Pink,Blue,Hexagon,14,2023-10-03,yes,plain
RakeshBhai,6,Green,White,White,Square,14,2023-12-29,no,plain
MRP MukeshBhai,3,Green,Purple,Pink,Diamond,10,2023-08-05,no,plain
Aditi Ornaments,3,Purple,Purple,Pink,Diamond,22,2024-11-07,yes,plain
SanjayBhai,3,Pink,Blue,White,Diamond,10,2024-03-21,yes,micro
AshishBhai,5,White,Green,Blue,Hexagon,18,2024-08-01,yes,micro
AshishBhai,3,White,Green,Pink,Marquise,2,2023-08-22,yes,plain
Aditi Ornaments,1,Ruby,Ruby,Ruby,Round,18,2023-08-09,yes,plain
RakeshBhai,6,Pink,Green,Green,Square,22,2024-05-06,yes,plain
Aditi Ornaments,1,Ruby,Blue,Green,Round,18,2024-03-22,yes,micro
RakeshBhai,7,Ruby,Green,Ruby,Hexagon,2,2024-12-09,no,micro
SanjayBhai,1,Blue,Green,Purple,Oval,2,2023-07-03,no,plain
Shiv VipulBhai,4,Pink,Green,Blue,Diamond,22,2024-02-12,yes,micro
SanjayBhai,5,Pink,Green,Purple,Heart,22,2023-12-14,yes,micro
MRP MukeshBhai,2,Green,Pink,White,Oval,14,2024-08-04,yes,micro
RakeshBhai,3,White,White,Blue,Round,18,2024-02-24,yes,micro
Shiv VipulBhai,4,White,Blue,White,Diamond,22,2023-12-31,no,micro
AshishBhai,4,Ruby,Blue,Purple,Hexagon,18,2023-05-08,yes,micro
Shiv VipulBhai,8,Purple,Green,Pink,Hexagon,18,2024-04-09,yes,micro
VirajBhai,6,Green,Blue,White,Diamond,18,2024-10-29,yes,plain
AshishBhai,3,White,White,Blue,Square,14,2023-10-16,yes,micro
RakeshBhai,4,Ruby,Ruby,Pink,Hexagon,10,2023-11-23,yes,plain
MRP MukeshBhai,6,Pink,Purple,Blue,Heart,2,2023-10-02,yes,plain
SanjayBhai,3,Ruby,Ruby,Pink,Round,26,2023-12-18,yes,micro
MRP MukeshBhai,4,Purple,Blue,White,Star,6,2024-11-28,yes,micro
Aditi Ornaments,3,Green,White,Ruby,Flower,10,2024-01-23,yes,micro
SanjayBhai,3,Purple,Green,Green,Star,6,2024-05-21,yes,micro
RakeshBhai,3,Ruby,Green,Green,Diamond,14,2023-12-25,yes,plain
AshishBhai,4,White,White,Pink,Diamond,10,2023-11-28,yes,micro
SanjayBhai,6,Ruby,Green,Green,Star,14,2025-03-04,yes,micro
RakeshBhai,3,Ruby,Blue,Purple,Oval,14,2024-08-23,no,micro
SanjayBhai,6,Ruby,White,Blue,Diamond,2,2024-08-24,yes,micro
Shiv VipulBhai,3,Pink,Blue,Blue,Oval,10,2023-04-08,yes,micro
SanjayBhai,3,Purple,Blue,Purple,Marquise,22,2023-10-01,yes,micro
RakeshBhai,3,Blue,Ruby,Purple,Square,6,2025-01-29,yes,micro
SanjayBhai,7,Blue,Green,Green,Hexagon,14,2024-11-20,no,micro
Shiv VipulBhai,1,Green,Blue,Pink,Marquise,14,2024-03-14,no,micro
SanjayBhai,6,Purple,Blue,White,Flower,18,2024-07-28,no,micro
VirajBhai,5,Blue,Green,Pink,Club,26,2023-12-24,yes,plain
VirajBhai,2,Purple,Pink,Blue,Square,18,2024-09-27,yes,plain
Shiv VipulBhai,2,White,Pink,Blue,Round,18,2025-01-13,no,micro
MRP MukeshBhai,1,White,Pink,White,Oval,2,2023-04-29,yes,plain
SanjayBhai,3,Green,Blue,Purple,Hexagon,10,2025-01-27,yes,micro
VirajBhai,6,White,White,Pink,Star,22,2023-07-31,yes,micro
RakeshBhai,3,Green,Purple,Blue,Heart,22,2023-08-20,no,plain
RakeshBhai,3,Blue,Pink,Blue,Heart,18,2024-03-13,yes,micro
Shiv VipulBhai,4,Ruby,Pink,Green,Flower,10,2024-05-20,yes,micro
SanjayBhai,6,Pink,Purple,Ruby,Square,6,2024-09-09,yes,plain
SanjayBhai,3,Pink,Pink,White,Oval,6,2025-01-09,no,plain
RakeshBhai,5,Green,Blue,Ruby,Heart,26,2024-12-02,yes,micro
VirajBhai,3,Pink,Green,Ruby,Diamond,10,2023-10-20,no,plain
Shiv VipulBhai,2,Ruby,Purple,Blue,Round,14,2024-05-12,no,micro
SanjayBhai,3,White,Green,Green,Heart,26,2024-12-14,yes,plain
SanjayBhai,1,White,White,Ruby,Oval,2,2023-09-03,yes,plain
SanjayBhai,5,Blue,Purple,Purple,Diamond,6,2023-08-25,yes,plain
SanjayBhai,4,Green,Green,Pink,Star,18,2023-05-21,yes,micro
AshishBhai,3,Ruby,Pink,Blue,Star,10,2023-05-10,no,micro
RakeshBhai,2,Green,Purple,Pink,Round,14,2023-06-26,yes,plain
VirajBhai,4,Green,Ruby,Blue,Hexagon,14,2025-02-09,yes,plain
RakeshBhai,2,Green,Purple,Pink,Diamond,6,2023-08-04,yes,plain
Shiv VipulBhai,6,Purple,Green,White,Hexagon,26,2024-02-09,yes,plain
Aditi Ornaments,4,Blue,Ruby,Purple,Heart,14,2023-07-24,no,plain
RakeshBhai,1,Blue,Green,Blue,Marquise,22,2023-12-11,yes,plain
MRP MukeshBhai,3,Pink,White,Blue,Marquise,10,2024-03-20,yes,plain
Aditi Ornaments,3,White,Purple,Blue,Diamond,6,2023-07-25,yes,plain
AshishBhai,7,Blue,Ruby,White,Flower,10,2023-04-17,yes,micro
Aditi Ornaments,4,Green,Blue,Ruby,Square,6,2025-02-06,yes,plain
SanjayBhai,4,Ruby,Purple,Pink,Star,22,2025-03-10,yes,plain
Aditi Ornaments,1,Green,Purple,White,Marquise,6,2024-12-01,yes,micro
MRP MukeshBhai,8,Green,Green,White,Hexagon,26,2023-09-17,yes,plain
RakeshBhai,1,Green,Pink,White,Round,22,2023-07-09,yes,micro
Shiv VipulBhai,5,Pink,Blue,Pink,Club,2,2025-02-19,no,plain
VirajBhai,6,Purple,Purple,Blue,Diamond,26,2023-11-07,yes,plain
Aditi Ornaments,4,Purple,Blue,Purple,Star,2,2024-04-15,yes,plain
MRP MukeshBhai,3,Pink,Ruby,Blue,Heart,2,2025-02-05,yes,plain
AshishBhai,8,Purple,Blue,White,Hexagon,10,2024-10-04,yes,plain
AshishBhai,5,White,Ruby,Purple,Club,6,2024-10-12,yes,micro
AshishBhai,2,Blue,Green,Blue,Heart,14,2023-06-20,yes,plain
AshishBhai,6,Pink,Pink,Purple,Square,2,2023-09-08,yes,micro
MRP MukeshBhai,3,Ruby,Blue,Purple,Star,10,2023-09-05,yes,plain
Aditi Ornaments,2,Pink,Ruby,White,Heart,6,2024-11-06,yes,micro
AshishBhai,6,Pink,Green,Ruby,Square,26,2024-09-28,yes,plain
SanjayBhai,6,Green,Purple,White,Club,10,2024-09-09,yes,plain
Shiv VipulBhai,2,Blue,Ruby,Pink,Oval,18,2024-01-10,yes,plain
VirajBhai,3,Ruby,Blue,Ruby,Oval,22,2023-11-27,yes,plain
VirajBhai,4,Blue,Ruby,Purple,Club,14,2023-07-26,yes,plain
VirajBhai,7,Purple,Ruby,Ruby,Flower,10,2024-07-09,yes,micro
AshishBhai,8,Pink,Purple,Purple,Star,2,2024-01-23,yes,micro
VirajBhai,5,Ruby,Ruby,Purple,Star,6,2024-08-07,yes,plain
Aditi Ornaments,4,Purple,Blue,Blue,Club,26,2023-04-02,yes,plain
AshishBhai,7,Blue,White,White,Star,2,2025-02-22,yes,plain
VirajBhai,3,Green,Pink,Pink,Marquise,18,2024-09-19,yes,micro
Aditi Ornaments,1,Pink,White,Green,Oval,10,2025-03-13,yes,micro
RakeshBhai,5,Purple,Purple,Pink,Heart,18,2023-11-20,yes,plain
MRP MukeshBhai,3,Ruby,White,Ruby,Marquise,6,2024-12-28,yes,micro
VirajBhai,3,Blue,Blue,Pink,Star,26,2024-05-09,yes,micro
VirajBhai,3,Green,Purple,Blue,Round,18,2025-01-31,yes,plain
AshishBhai,1,Blue,White,Pink,Oval,18,2024-08-21,yes,plain
VirajBhai,6,Green,Blue,Pink,Heart,18,2024-01-07,yes,plain
RakeshBhai,3,White,Ruby,Pink,Round,2,2024-05-02,yes,plain
Shiv VipulBhai,6,Pink,Blue,Pink,Diamond,22,2023-04-26,yes,micro
AshishBhai,3,Ruby,Purple,Blue,Marquise,26,2024-09-18,no,plain
VirajBhai,7,White,Pink,Blue,Hexagon,6,2023-07-07,yes,micro
AshishBhai,3,Pink,Green,Blue,Round,2,2024-09-17,yes,micro
Shiv VipulBhai,6,Blue,Purple,Purple,Heart,14,2023-04-01,no,micro
Shiv VipulBhai,4,Ruby,Purple,Purple,Hexagon,6,2024-09-20,no,plain
SanjayBhai,2,Blue,Purple,White,Oval,26,2023-06-21,yes,plain
VirajBhai,3,Green,Green,White,Star,2,2024-05-18,yes,micro
RakeshBhai,4,Purple,Blue,Ruby,Square,18,2023-05-27,yes,micro
SanjayBhai,5,Pink,Blue,Pink,Star,6,2023-04-17,no,micro
VirajBhai,1,Ruby,Purple,Ruby,Marquise,6,2023-10-18,yes,plain
SanjayBhai,4,Green,Green,White,Diamond,14,2023-09-06,yes,plain
SanjayBhai,5,Purple,Purple,Blue,Star,6,2024-07-05,yes,plain
Shiv VipulBhai,7,Ruby,Purple,Blue,Flower,2,2024-12-20,yes,micro
RakeshBhai,3,Ruby,Green,Purple,Round,18,2023-04-21,yes,plain
RakeshBhai,1,White,Ruby,Blue,Round,2,2024-12-16,no,micro
VirajBhai,8,Pink,Green,White,Flower,10,2024-05-13,yes,plain
SanjayBhai,3,Blue,Blue,Blue,Round,6,2024-07-23,yes,micro
MRP MukeshBhai,2,Ruby,White,Green,Club,26,2023-06-13,yes,micro
RakeshBhai,7,Ruby,Green,Blue,Star,10,2024-12-23,no,micro
Shiv VipulBhai,3,Pink,Purple,Pink,Star,10,2024-10-03,yes,plain
MRP MukeshBhai,3,Green,Ruby,Pink,Heart,6,2023-04-07,yes,plain
AshishBhai,3,Pink,Blue,Pink,Club,14,2024-06-11,yes,plain
VirajBhai,5,Green,Ruby,Pink,Diamond,10,2023-09-10,yes,micro
VirajBhai,3,Ruby,Blue,Ruby,Diamond,2,2024-07-09,yes,plain
Shiv VipulBhai,1,Ruby,Blue,White,Oval,10,2025-01-31,yes,micro
VirajBhai,3,Ruby,Ruby,Pink,Hexagon,26,2023-08-01,yes,micro
AshishBhai,2,Pink,Pink,Purple,Diamond,22,2024-01-07,yes,plain
AshishBhai,8,Pink,Pink,Pink,Hexagon,26,2023-05-17,yes,plain
VirajBhai,3,Blue,Purple,Green,Oval,18,2023-12-12,yes,micro
SanjayBhai,5,Ruby,Pink,Ruby,Star,26,2023-07-16,yes,plain
SanjayBhai,2,Pink,Green,Pink,Oval,18,2025-03-04,yes,micro
VirajBhai,4,Blue,Blue,White,Club,18,2024-12-06,yes,micro
SanjayBhai,1,Pink,Purple,Ruby,Oval,22,2024-01-29,yes,plain
SanjayBhai,1,Pink,Ruby,Ruby,Round,26,2024-11-17,yes,plain
VirajBhai,3,Ruby,Purple,Purple,Heart,18,2025-02-16,yes,plain
Aditi Ornaments,4,White,Purple,Blue,Diamond,10,2024-03-25,yes,micro
RakeshBhai,1,Blue,Pink,Purple,Round,22,2023-05-24,yes,micro
SanjayBhai,6,Ruby,Purple,Blue,Square,2,2023-04-12,yes,micro
MRP MukeshBhai,4,Pink,White,Pink,Hexagon,26,2024-11-12,yes,micro
SanjayBhai,1,Blue,Ruby,Green,Oval,18,2025-01-29,yes,micro
Aditi Ornaments,5,Blue,Blue,Blue,Hexagon,18,2024-08-25,yes,plain
VirajBhai,1,White,Purple,Blue,Oval,10,2024-09-08,yes,micro
MRP MukeshBhai,5,Pink,Green,White,Flower,18,2024-04-06,yes,plain
AshishBhai,7,Ruby,Blue,White,Flower,14,2023-09-17,yes,plain
Shiv VipulBhai,3,Purple,White,Green,Oval,10,2024-03-28,no,micro
SanjayBhai,5,Pink,Blue,White,Heart,14,2023-12-12,yes,micro
AshishBhai,3,Blue,Green,White,Square,26,2023-12-08,yes,plain
MRP MukeshBhai,4,Pink,Purple,Ruby,Square,2,2024-09-16,yes,plain
RakeshBhai,5,Pink,Blue,Blue,Club,14,2023-11-27,no,plain
Shiv VipulBhai,3,Pink,Blue,Blue,Club,2,2024-02-16,yes,micro
AshishBhai,6,Pink,Green,Green,Flower,2,2024-09-28,yes,micro
Shiv VipulBhai,3,Purple,White,Purple,Diamond,26,2024-11-24,yes,micro
RakeshBhai,1,Pink,Green,Blue,Marquise,18,2023-07-25,yes,plain
AshishBhai,6,Blue,White,Green,Diamond,18,2023-06-09,yes,micro
AshishBhai,3,Purple,Ruby,Ruby,Round,22,2025-01-14,yes,plain
MRP MukeshBhai,2,Blue,Blue,Purple,Oval,18,2024-04-01,no,plain
VirajBhai,4,Green,Purple,Green,Flower,26,2023-08-13,yes,micro
VirajBhai,4,White,White,Ruby,Diamond,14,2025-02-13,yes,plain
VirajBhai,1,Blue,Blue,Purple,Marquise,18,2024-11-09,yes,plain
RakeshBhai,8,Green,Green,Pink,Flower,2,2024-05-25,yes,micro
MRP MukeshBhai,6,White,Ruby,White,Diamond,26,2023-08-04,yes,plain
AshishBhai,2,Pink,White,Purple,Oval,26,2024-06-19,no,micro
MRP MukeshBhai,1,Green,Pink,Pink,Round,2,2023-10-07,yes,micro
VirajBhai,3,White,Pink,Purple,Oval,18,2023-09-10,yes,micro
Shiv VipulBhai,7,Blue,Ruby,White,Star,10,2023-10-18,yes,micro
VirajBhai,7,Green,Purple,Blue,Flower,2,2023-10-08,yes,micro
MRP MukeshBhai,4,Pink,Purple,Green,Diamond,26,2024-11-03,yes,plain
SanjayBhai,3,Ruby,Blue,Ruby,Diamond,18,2024-10-14,yes,plain
AshishBhai,5,Pink,Purple,Pink,Club,14,2024-11-10,yes,micro
Shiv VipulBhai,2,White,Green,Blue,Marquise,18,2024-07-25,yes,plain
VirajBhai,5,Ruby,Blue,Pink,Hexagon,22,2025-01-29,yes,plain
MRP MukeshBhai,6,Ruby,Ruby,Blue,Heart,14,2024-12-10,yes,plain
SanjayBhai,3,Purple,Ruby,Purple,Oval,6,2023-12-13,yes,micro
SanjayBhai,2,Green,Pink,Ruby,Square,22,2024-11-05,yes,micro
RakeshBhai,6,Green,Purple,Ruby,Star,18,2024-11-30,yes,plain
SanjayBhai,4,White,Pink,Green,Club,14,2023-05-01,yes,micro
RakeshBhai,2,Blue,Green,Green,Oval,18,2025-01-11,yes,micro
AshishBhai,2,White,Pink,Green,Marquise,18,2023-09-21,yes,micro
MRP MukeshBhai,2,Pink,Ruby,Pink,Heart,26,2024-09-08,yes,plain
AshishBhai,6,White,Pink,Pink,Flower,14,2023-04-10,no,micro
VirajBhai,8,Pink,Purple,Ruby,Star,22,2023-10-07,yes,plain
MRP MukeshBhai,5,Pink,White,Blue,Square,6,2024-07-21,yes,micro
MRP MukeshBhai,1,Purple,Ruby,Purple,Oval,6,2024-09-15,yes,micro
MRP MukeshBhai,5,White,Purple,Blue,Club,2,2023-11-05,yes,micro
AshishBhai,3,Blue,Ruby,Blue,Club,2,2024-05-21,yes,plain
VirajBhai,7,Pink,White,White,Star,26,2025-01-06,yes,plain
RakeshBhai,3,Ruby,White,Blue,Hexagon,18,2024-04-05,yes,plain
Aditi Ornaments,8,Pink,White,White,Flower,26,2023-03-23,yes,micro
VirajBhai,4,Blue,Green,Blue,Square,2,2023-09-02,yes,plain
Aditi Ornaments,2,Blue,Ruby,Ruby,Club,2,2023-06-01,yes,plain
VirajBhai,4,Purple,Pink,Ruby,Diamond,14,2023-08-30,yes,plain
RakeshBhai,2,Green,White,Purple,Round,22,2023-09-14,yes,plain
Shiv VipulBhai,6,Purple,Pink,Ruby,Hexagon,6,2024-03-16,no,micro
RakeshBhai,3,Green,Ruby,Ruby,Square,18,2023-07-19,no,micro
AshishBhai,3,Purple,Ruby,Ruby,Oval,14,2024-09-11,yes,plain
VirajBhai,5,Pink,Purple,Ruby,Heart,18,2024-12-02,yes,micro
RakeshBhai,7,Pink,Purple,Purple,Flower,6,2023-11-03,no,micro
Aditi Ornaments,4,Purple,Blue,Pink,Star,14,2023-12-12,yes,micro
Shiv VipulBhai,2,Blue,Pink,Pink,Square,26,2024-05-09,yes,plain
MRP MukeshBhai,3,White,White,Blue,Diamond,22,2024-05-29,yes,micro
RakeshBhai,2,Ruby,Blue,White,Round,26,2024-09-27,yes,plain
MRP MukeshBhai,6,Pink,Green,Blue,Heart,26,2024-11-29,yes,micro
VirajBhai,1,Ruby,White,White,Round,10,2025-02-28,yes,micro
